"Column1","Column2","Column3"
"1988","01","459.0"
"1988","02","400.0"
"1988","03","588.0"
"1988","04","398.0"
"1988","05","533.0"
"1988","06","702.0"
"1988","07","1113.0"
"1988","08","489.0"
"1988","09","193.0"
"1988","10","206.0"
"1988","11","290.0"
"1988","12","186.0"
"1989","01","231.0"
"1989","02","228.0"
"1989","03","526.0"
"1989","04","323.0"
"1989","05","346.0"
"1989","06","611.0"
"1989","07","805.0"
"1989","08","780.0"
"1989","09","762.0"
"1989","10","677.0"
"1989","11","501.0"
"1989","12","394.0"
"1990","01","398.0"
"1990","02","334.0"
"1990","03","516.0"
"1990","04","371.0"
"1990","05","302.0"
"1990","06","528.0"
"1990","07","474.0"
"1990","08","387.0"
"1990","09","286.0"
"1990","10","489.44"
"1990","11","385.58999999999997"
"1990","12","366.47000000000003"
"1991","01","303.75"
"1991","02","260.47000000000003"
"1991","03","420.57999999999998"
"1991","04","368.93000000000001"
"1991","05","512.80999999999995"
"1991","06","566.48000000000002"
"1991","07","542.94000000000005"
"1991","08","495.58999999999997"
"1991","09","642.63999999999999"
"1991","10","504.19999999999999"
"1991","11","438.55000000000001"
"1991","12","373.23000000000002"
"1992","01","375.69"
"1992","02","342.81999999999999"
"1992","03","397.81999999999999"
"1992","04","271.33999999999997"
"1992","05","373.83999999999997"
"1992","06","437.36000000000001"
"1992","07","378.75999999999999"
"1992","08","187.53999999999999"
"1992","09","206.47999999999999"
"1992","10","203.52000000000001"
"1992","11","223.74000000000001"
"1992","12","273.62"
"1993","01","322.81"
"1993","02","348.22000000000003"
"1993","03","389.22000000000003"
"1993","04","257.06"
"1993","05","310.50999999999999"
"1993","06","413.99000000000001"
"1993","07","476.52999999999997"
"1993","08","427.94999999999999"
"1993","09","395.11000000000001"
"1993","10","376.92000000000002"
"1993","11","294.55000000000001"
"1993","12","205.97999999999999"
"1994","01","150.03"
"1994","02","104.97"
"1994","03","257.63"
"1994","04","271.93000000000001"
"1994","05","276.07999999999998"
"1994","06","264.19999999999999"
"1994","07","390.44999999999999"
"1994","08","327.11000000000001"
"1994","09","320.13"
"1994","10","302.5"
"1994","11","304.69999999999999"
"1994","12","270.5"
"1995","01","281.60000000000002"
"1995","02","396.5"
"1995","03","479.60000000000002"
"1995","04","91.599999999999994"
"1995","05","333.89999999999998"
"1995","06","2439.3000000000002"
"1995","07","2078.3000000000002"
"1995","08","418.10000000000002"
"1995","09","4633.3999999999996"
"1995","10","405.81999999999999"
"1995","11","420.69"
"1995","12","381.83999999999997"
"1996","01","312.36000000000001"
"1996","02","308.88999999999999"
"1996","03","657.91999999999996"
"1996","04","386.18000000000001"
"1996","05","514.03999999999996"
"1996","06","538.50999999999999"
"1996","07","903.87"
"1996","08","255.78999999999999"
"1996","09","136.25999999999999"
"1996","10","129.09999999999999"
"1996","11","304.69999999999999"
"1996","12","181.40000000000001"
"1997","01","194.90000000000001"
"1997","02","230.5"
"1997","03","614.89999999999998"
"1997","04","285.60000000000002"
"1997","05","873.10000000000002"
"1997","06","833.10000000000002"
"1997","07","341.89999999999998"
"1997","08","177.09999999999999"
"1997","09","1772.2"
"1997","10","267.47000000000003"
"1997","11","248.13"
"1997","12","252.09999999999999"
"1998","01","245.94999999999999"
"1998","02","222.15000000000001"
"1998","03","249.63999999999999"
"1998","04","293.36000000000001"
"1998","05","360.93000000000001"
"1998","06","495.67000000000002"
"1998","07","426.72000000000003"
"1998","08","428.56999999999999"
"1998","09","987.76999999999998"
"1998","10","946.89999999999998"
"1998","11","563.5"
"1998","12","581.10000000000002"
"1999","01","458.10000000000002"
"1999","02","371.0"
"1999","03","430.39999999999998"
"1999","04","436.19999999999999"
"1999","05","565.10000000000002"
"1999","06","1035.4000000000001"
"1999","07","676.39999999999998"
"1999","08","527.60000000000002"
"1999","09","630.70000000000005"
"1999","10","477.75999999999999"
"1999","11","590.88"
"1999","12","376.92000000000002"
"2000","01","368.93000000000001"
"2000","02","345.12"
"2000","03","579.21000000000004"
"2000","04","595.03999999999996"
"2000","05","891.57000000000005"
"2000","06","892.55999999999995"
"2000","07","146.96000000000001"
"2000","08","383.06999999999999"
"2000","09","470.07999999999998"
"2000","10","398.68000000000001"
"2000","11","245.94999999999999"
"2000","12","245.94999999999999"
"2001","01","245.94999999999999"
"2001","02","222.15000000000001"
"2001","03","309.42000000000002"
"2001","04","297.51999999999998"
"2001","05","253.88"
"2001","06","204.30000000000001"
"2001","07","470.07999999999998"
"2001","08","414.55000000000001"
"2001","09","119.01000000000001"
"2001","10","491.89999999999998"
"2001","11","535.53999999999996"
"2001","12","430.41000000000003"
"2002","01","430.41000000000003"
"2002","02","388.75999999999999"
"2002","03","430.41000000000003"
"2002","04","297.51999999999998"
"2002","05","184.46000000000001"
"2002","06","238.02000000000001"
"2002","07","122.98"
"2002","08","245.94999999999999"
"2002","09","178.50999999999999"
"2002","10","368.93000000000001"
"2002","11","357.01999999999998"
"2002","12","307.44"
"2003","01","307.44"
"2003","02","333.22000000000003"
"2003","03","368.93000000000001"
"2003","04","297.51999999999998"
"2003","05","307.44"
"2003","06","416.52999999999997"
"2003","07","61.490000000000002"
"2003","08","122.98"
"2003","09","178.50999999999999"
"2003","10","368.93000000000001"
"2003","11","416.52999999999997"
"2003","12","430.41000000000003"
"2004","01","430.41000000000003"
"2004","02","345.12"
"2004","03","368.93000000000001"
"2004","04","297.51999999999998"
"2004","05","184.46000000000001"
"2004","06","297.51999999999998"
"2004","07","61.490000000000002"
"2004","08","0.0"
"2004","09","654.54999999999995"
"2004","10","392.73000000000002"
"2004","11","587.11000000000001"
"2004","12","384.79000000000002"
"2005","01","307.44"
"2005","02","277.69"
"2005","03","307.44"
"2005","04","297.51999999999998"
"2005","05","307.44"
"2005","06","297.51999999999998"
"2005","07","317.36000000000001"
"2005","08","307.44"
"2005","09","368.93000000000001"
"2005","10","408.60000000000002"
"2005","11","357.01999999999998"
"2005","12","368.93000000000001"
"2006","01","368.93000000000001"
"2006","02","111.06999999999999"
"2006","03","275.69999999999999"
"2006","04","303.47000000000003"
"2006","05","454.20999999999998"
"2006","06","485.94999999999999"
"2006","07","323.31"
"2006","08","222.15000000000001"
"2006","09","293.55000000000001"
"2006","10","370.91000000000003"
"2006","11","376.86000000000001"
"2006","12","307.44"
"2007","01","307.44"
"2007","02","299.5"
"2007","03","472.06999999999999"
"2007","04","527.60000000000002"
"2007","05","660.5"
"2007","06","604.96000000000004"
"2007","07","73.390000000000001"
"2007","08","144.78999999999999"
"2007","09","329.25999999999999"
"2007","10","751.74000000000001"
"2007","11","398.68000000000001"
"2007","12","245.94999999999999"
"2008","01","289.58999999999997"
"2008","02","287.60000000000002"
"2008","03","307.44"
"2008","04","339.17000000000002"
"2008","05","684.29999999999995"
"2008","06","618.84000000000003"
"2008","07","176.53"
"2008","08","422.48000000000002"
"2008","09","593.05999999999995"
"2008","10","555.39999999999998"
"2008","11","575.20000000000005"
"2008","12","529.60000000000002"
"2009","01","184.5"
"2009","02","166.59999999999999"
"2009","03","273.69999999999999"
"2009","04","416.5"
"2009","05","777.5"
"2009","06","1400.3"
"2009","07","317.39999999999998"
"2009","08","444.30000000000001"
"2009","09","81.299999999999997"
"2009","10","75.370000000000005"
"2009","11","59.5"
"2009","12","93.219999999999999"
"2010","01","61.490000000000002"
"2010","02","55.539999999999999"
