dimen,id,cr_date,name
unknown,470,2018-03-13 18:56:08,Daily Capacity
unknown,471,2018-03-13 18:56:10,Fixed Head
unknown,472,2018-03-13 18:56:10,Max Turbine Flow
unknown,473,2018-03-13 18:56:11,Headflow_Time_Series
unknown,474,2018-03-13 18:56:11,Headflow_Seasonal
unknown2,475,2018-03-13 20:07:14,Definitions
unknown2,476,2018-03-13 20:07:15,Sqeuence
unknown2,477,2018-03-13 20:07:15,DO Decrease
unknown2,478,2018-03-13 20:07:15,BOD Decrease
unknown2,479,2018-03-13 20:07:15,Monthly Demand
unknown2,480,2018-03-13 20:07:15,Monthly DemandS
unknown2,481,2018-03-13 20:07:15,Annual Water Use Rate
unknown2,482,2018-03-13 20:07:16,Monthly Variation
unknown2,483,2018-03-13 20:07:16,Consumption
unknown2,484,2018-03-13 20:07:16,Loss Rate
unknown2,485,2018-03-13 20:07:16,DO Inflow
unknown2,486,2018-03-13 20:07:16,BOD Inflow
unknown2,487,2018-03-13 20:07:16,BOD Intensity
unknown2,488,2018-03-13 20:07:16,DO Intensity
unknown2,489,2018-03-13 20:07:17,DO Concentration
unknown2,490,2018-03-13 20:07:17,BOD Concentration
unknown2,491,2018-03-13 20:07:17,Capital Costs
unknown2,492,2018-03-13 20:07:17,Variable Operating Costs
unknown2,493,2018-03-13 20:07:17,Fixed Operating Costs
unknown2,494,2018-03-13 20:07:17,Variable Benefits
unknown2,495,2018-03-13 20:07:17,Fixed Benefits
unknown2,496,2018-03-13 20:07:18,Demand Priority
unknown2,497,2018-03-13 20:07:18,Storage Capacity
unknown2,498,2018-03-13 20:07:18,Initial Storage
unknown2,499,2018-03-13 20:07:18,Volume Elevation Curve
unknown2,500,2018-03-13 20:07:18,Volume-Curve
unknown2,501,2018-03-13 20:07:18,Elevation-Curve
unknown2,502,2018-03-13 20:07:18,Maximum Hydraulic Outflow
unknown2,503,2018-03-13 20:07:19,Net Evaporation
unknown2,504,2018-03-13 20:07:19,Priority
unknown2,505,2018-03-13 20:07:19,Loss to Groundwater
unknown2,506,2018-03-13 20:07:19,Observed Volume
unknown2,507,2018-03-13 20:07:19,Top of Conservation
unknown2,508,2018-03-13 20:07:19,Top of Buffer
unknown2,509,2018-03-13 20:07:19,Top of Inactive
unknown2,510,2018-03-13 20:07:20,Buffer Coefficient
unknown2,511,2018-03-13 20:07:20,Max. Turbine Flow
unknown2,512,2018-03-13 20:07:20,Tailwater Elevation
unknown2,513,2018-03-13 20:07:20,Plant Factor
unknown2,514,2018-03-13 20:07:20,Generating Efficiency
unknown2,515,2018-03-13 20:07:20,Hydropower Priority
unknown2,516,2018-03-13 20:07:20,Energy Demand
unknown2,517,2018-03-13 20:07:21,Electricity Revenue
unknown2,518,2018-03-13 20:07:21,Priority seasonal
unknown2,519,2018-03-13 20:07:22,Maximum Withdrawal
unknown2,520,2018-03-13 20:07:22,Natural Recharge
unknown2,521,2018-03-13 20:07:23,Headflow
unknown2,522,2018-03-13 20:07:24,Evaporation
unknown2,523,2018-03-13 20:07:24,Groundwater Inflow
unknown2,524,2018-03-13 20:07:24,Groundwater Outflow
unknown2,525,2018-03-13 20:07:24,Maximum Diversion
unknown2,526,2018-03-13 20:07:24,Reach Length
unknown2,527,2018-03-13 20:07:25,Surface Water Inflow
unknown2,528,2018-03-13 20:07:25,Water Temperature
