dimen,id,cr_date,name
meter,157,1/22/2018 2:24,wf_par2
dimensionless,158,1/22/2018 2:24,wsi_par_indx
Mm2/(Mm3/month),159,1/22/2018 2:24,wsi_par1
Milion square meter,160,1/22/2018 2:24,wsi_par2
dimensionless,161,1/22/2018 2:24,fci_indx
dimensionless,162,1/22/2018 2:24,fci_par1
dimensionless,163,1/22/2018 2:24,fci_par2
meter,164,1/22/2018 2:24,fci_par3
meter,165,1/22/2018 2:24,fci_par4
dimensionless,166,1/22/2018 2:24,fci_monthYear
acre foot,167,1/22/2018 3:04,Inactive Storage Pool
acre foot,168,1/22/2018 3:04,Max Storage Capacity
acre foot,169,1/22/2018 3:04,Starting End-of-Month Contents
inch,170,1/22/2018 3:04,Net Evaporation - inches
acre foot/month,171,1/22/2018 3:04,Net Evaporation - acre-ft
acre foot/month,172,1/22/2018 3:04,Historic Diversion outflow
acre foot/month,173,1/22/2018 3:04,Import/Export net inflow
acre foot/month,174,1/22/2018 3:04,Average Monthly Streamflow 
acre foot/month,175,1/22/2018 3:04,Total Ungaged Reach Gains
acre foot/month,176,1/22/2018 3:04,Total Ungaged Reach Losses
acre foot/month,177,1/22/2018 3:04,Total Irrigation Returns
acre foot/month,178,1/22/2018 3:04,Total Diversion flow 
dimensionless,179,1/22/2018 3:05,Definitions
dimensionless,180,1/22/2018 3:05,Sqeuence
percent,181,1/22/2018 3:05,DO Decrease
percent,182,1/22/2018 3:05,BOD Decrease
acre foot,183,1/22/2018 3:05,Monthly Demand
acre foot,184,1/22/2018 3:05,Monthly DemandS
acre foot,185,1/22/2018 3:05,Annual Water Use Rate
percent,186,1/22/2018 3:05,Monthly Variation
percent,187,1/22/2018 3:05,Loss Rate
milligrams Per Liter,188,1/22/2018 3:05,DO Inflow
milligrams Per Liter,189,1/22/2018 3:05,BOD Inflow
milligrams Per Liter,190,1/22/2018 3:05,BOD Intensity
milligrams Per Liter,191,1/22/2018 3:05,DO Intensity
milligrams Per Liter,192,1/22/2018 3:05,DO Concentration
milligrams Per Liter,193,1/22/2018 3:05,BOD Concentration
Dollar,194,1/22/2018 3:05,Capital Costs
Dollar,195,1/22/2018 3:05,Variable Operating Costs
Dollar,196,1/22/2018 3:05,Fixed Operating Costs
Dollar,197,1/22/2018 3:05,Variable Benefits
Dollar,198,1/22/2018 3:05,Fixed Benefits
dimensionless,199,1/22/2018 3:05,Demand Priority
dimensionless,200,1/22/2018 3:05,test dual value
dimensionless,201,1/22/2018 3:05,test descriptor
acre foot,202,1/22/2018 3:05,Volume-Curve
foot,203,1/22/2018 3:05,Elevation-Curve
cubic feet per second,204,1/22/2018 3:05,Maximum Hydraulic Outflow
acre foot,205,1/22/2018 3:05,Observed Volume
acre foot,206,1/22/2018 3:05,Top of Conservation
acre foot,207,1/22/2018 3:05,Top of Buffer
acre foot,208,1/22/2018 3:05,Top of Inactive
cubic feet per second,209,1/22/2018 3:05,Max. Turbine Flow
foot,210,1/22/2018 3:05,Tailwater Elevation
percent,211,1/22/2018 3:05,Plant Factor
percent,212,1/22/2018 3:05,Generating Efficiency
dimensionless,213,1/22/2018 3:05,Hydropower Priority
Thousand Gigajoule,214,1/22/2018 3:05,Energy Demand
Dollar per Gigajoule,215,1/22/2018 3:05,Electricity Revenue
acre foot,216,1/22/2018 3:05,Maximum Withdrawal
cubic feet per second,217,1/22/2018 3:05,Headflow
cubic feet per second,218,1/22/2018 3:05,Groundwater Inflow
percent,219,1/22/2018 3:05,Groundwater Outflow
cubic feet per second,220,1/22/2018 3:05,Maximum Diversion
cubic feet per second,221,1/22/2018 3:05,Surface Water Inflow
